Title,Year,Actor
Les Miserable,2012,Hugh Jackman; Russell Ira Crowe
The Shawshank Redemption,1994,Tim Robbins; Morgan Freeman
The Green Mile,1999,Tom Hunks; Michael Clarke Duncan
